MJD ObsName
4392.8347638671785 obs/obs_0
2728.1310924582094 obs/obs_1
2405.756298972822 obs/obs_2
3729.466906447483 obs/obs_3
1716.7390041392 obs/obs_4
4182.489797165185 obs/obs_5
1545.277563430283 obs/obs_6
1013.5110296623482 obs/obs_7
1316.7784391475404 obs/obs_8
3185.754736354893 obs/obs_9
245.08315624137862 obs/obs_10
1834.5114821930042 obs/obs_11
932.4299759164941 obs/obs_12
4556.334885191831 obs/obs_13
3197.6889572209375 obs/obs_14
2411.722454322658 obs/obs_15
3817.1753315473657 obs/obs_16
4001.4137205452084 obs/obs_17
4029.3505702397024 obs/obs_18
3204.1795824046535 obs/obs_19
4111.442036109317 obs/obs_20
1260.315373595174 obs/obs_21
1954.1702481419431 obs/obs_22
3517.2952806416015 obs/obs_23
211.89885709911366 obs/obs_24
4062.925468532283 obs/obs_25
236.08918191896038 obs/obs_26
4691.357245390382 obs/obs_27
2771.184457146682 obs/obs_28
2677.9965186468335 obs/obs_29
